"Date","Price","Open","High","Low","Vol.","Change %"
"03/22/2024","178.87","177.75","179.26","176.75","28.00M","0.40%"
"03/21/2024","178.15","179.99","181.41","178.15","32.82M","0.00%"
"03/20/2024","178.15","176.14","178.53","174.64","29.57M","1.28%"
"03/19/2024","175.90","174.21","176.09","173.52","26.77M","0.81%"
"03/18/2024","174.48","175.80","176.69","174.28","30.83M","0.03%"
"03/15/2024","174.42","176.64","177.93","173.90","70.40M","-2.42%"
"03/14/2024","178.75","177.69","179.53","176.46","43.53M","1.24%"
"03/13/2024","176.55","175.90","177.62","175.55","30.60M","0.66%"
"03/12/2024","175.39","173.50","176.76","171.98","35.31M","1.99%"
"03/11/2024","171.96","174.31","174.47","171.47","28.49M","-1.93%"
"03/08/2024","175.35","176.44","178.79","174.33","37.89M","-0.83%"
"03/07/2024","176.82","174.83","177.99","173.72","32.48M","1.91%"
"03/06/2024","173.51","175.54","176.46","173.26","31.85M","-0.35%"
"03/05/2024","174.12","176.93","176.93","173.30","36.97M","-1.95%"
"03/04/2024","177.58","177.53","180.14","177.49","36.39M","-0.36%"
"03/01/2024","178.22","176.75","178.73","176.07","31.98M","0.83%"
"02/29/2024","176.76","173.01","177.22","172.85","53.38M","2.08%"
"02/28/2024","173.16","172.44","174.05","172.27","27.01M","-0.22%"
"02/27/2024","173.54","174.07","174.62","172.86","30.70M","-0.68%"
"02/26/2024","174.73","175.70","176.37","174.26","40.19M","-0.15%"
"02/23/2024","174.99","174.28","175.75","173.70","59.72M","0.23%"
"02/22/2024","174.58","173.10","174.80","171.77","54.31M","3.55%"
"02/21/2024","168.59","168.94","170.23","167.14","42.17M","0.90%"
"02/20/2024","167.08","167.83","168.71","165.74","40.12M","-1.43%"
"02/16/2024","169.51","168.74","170.42","167.17","48.11M","-0.17%"
"02/15/2024","169.80","170.58","171.17","167.59","47.40M","-0.69%"
"02/14/2024","170.98","169.21","171.21","168.28","42.04M","1.39%"
"02/13/2024","168.64","167.73","170.95","165.75","56.05M","-2.15%"
"02/12/2024","172.34","174.80","175.39","171.54","50.60M","-1.21%"
"02/09/2024","174.45","170.90","175.00","170.58","56.99M","2.71%"
"02/08/2024","169.84","169.65","171.43","168.88","42.08M","-0.40%"
"02/07/2024","170.53","169.48","170.88","168.94","46.76M","0.82%"
"02/06/2024","169.15","169.39","170.71","167.65","42.51M","-0.68%"
"02/05/2024","170.31","170.20","170.55","167.70","54.02M","-0.87%"
"02/02/2024","171.81","169.19","172.50","167.33","117.22M","7.87%"
"02/01/2024","159.28","155.87","159.76","155.62","66.36M","2.63%"
"01/31/2024","155.20","157.00","159.01","154.81","49.69M","-2.39%"
"01/30/2024","159.00","160.70","161.73","158.49","42.29M","-1.40%"
"01/29/2024","161.26","159.34","161.29","158.90","42.84M","1.34%"
"01/26/2024","159.12","158.42","160.72","157.91","51.05M","0.87%"
"01/25/2024","157.75","156.95","158.51","154.55","43.31M","0.56%"
"01/24/2024","156.87","157.80","158.51","156.48","47.64M","0.54%"
"01/23/2024","156.02","154.85","156.21","153.93","34.93M","0.80%"
"01/22/2024","154.78","156.89","157.05","153.90","43.69M","-0.36%"
"01/19/2024","155.34","153.83","155.76","152.74","51.65M","1.20%"
"01/18/2024","153.50","152.77","153.77","151.82","37.35M","1.18%"
"01/17/2024","151.71","151.49","152.15","149.91","34.35M","-0.95%"
"01/16/2024","153.16","153.53","154.99","152.15","40.06M","-0.94%"
"01/12/2024","154.62","155.39","156.20","154.01","40.48M","-0.36%"
"01/11/2024","155.18","155.04","157.17","153.12","49.07M","0.94%"
"01/10/2024","153.73","152.06","154.42","151.88","43.81M","1.56%"
"01/09/2024","151.37","148.33","151.71","148.21","43.81M","1.52%"
"01/08/2024","149.10","146.74","149.40","146.15","46.76M","2.66%"
"01/05/2024","145.24","144.69","146.59","144.53","45.15M","0.46%"
"01/04/2024","144.57","145.59","147.38","144.05","55.82M","-2.63%"
"01/03/2024","148.47","149.20","151.05","148.33","46.91M","-0.97%"
"01/02/2024","149.93","151.54","152.38","148.39","45.26M","-1.32%"
"12/29/2023","151.94","153.10","153.89","151.03","39.82M","-0.94%"
"12/28/2023","153.38","153.72","154.08","152.95","26.82M","0.03%"
"12/27/2023","153.34","153.56","154.78","153.12","31.24M","-0.05%"
"12/26/2023","153.41","153.56","153.98","153.03","24.87M","-0.01%"
"12/22/2023","153.42","153.77","154.35","152.71","29.51M","-0.27%"
"12/21/2023","153.84","153.30","153.97","152.10","35.95M","1.13%"
"12/20/2023","152.12","152.90","155.63","151.56","50.00M","-1.09%"
"12/19/2023","153.79","154.40","155.12","152.69","42.89M","-0.18%"
"12/18/2023","154.07","150.56","154.85","150.05","62.51M","2.73%"
"12/15/2023","149.97","148.38","150.57","147.88","110.09M","1.73%"
"12/14/2023","147.42","149.93","150.54","145.52","57.94M","-0.95%"
"12/13/2023","148.84","148.12","149.46","146.82","51.65M","0.92%"
"12/12/2023","147.48","145.52","147.50","145.30","43.40M","1.09%"
"12/11/2023","145.89","145.66","146.19","143.64","48.40M","-1.04%"
"12/08/2023","147.42","145.48","147.84","145.40","41.91M","0.37%"
"12/07/2023","146.88","146.15","147.92","145.34","49.51M","1.63%"
"12/06/2023","144.52","147.58","147.85","144.28","39.68M","-1.61%"
"12/05/2023","146.88","143.55","148.57","143.13","46.39M","1.41%"
"12/04/2023","144.84","145.25","145.35","142.81","47.81M","-1.49%"
"12/01/2023","147.03","146.00","147.24","145.55","39.95M","0.64%"
"11/30/2023","146.09","144.76","146.93","144.33","64.32M","-0.16%"
"11/29/2023","146.32","147.85","148.54","145.97","38.76M","-0.48%"
"11/28/2023","147.03","146.98","147.60","145.53","41.27M","-0.47%"
"11/27/2023","147.73","147.53","149.26","146.88","52.38M","0.67%"
"11/24/2023","146.74","146.70","147.20","145.32","21.62M","0.02%"
"11/22/2023","146.71","144.57","147.74","144.57","45.70M","1.95%"
"11/21/2023","143.90","143.91","144.05","141.50","71.23M","-1.53%"
"11/20/2023","146.13","145.13","146.63","144.73","41.98M","0.65%"
"11/17/2023","145.18","142.66","145.23","142.54","49.68M","1.65%"
"11/16/2023","142.83","140.91","143.32","139.52","49.65M","-0.26%"
"11/15/2023","143.20","147.06","147.29","142.59","63.26M","-1.78%"
"11/14/2023","145.80","145.00","147.26","144.68","56.43M","2.25%"
"11/13/2023","142.59","142.08","143.23","140.67","35.24M","-0.68%"
"11/10/2023","143.56","140.46","143.65","139.91","49.35M","2.11%"
"11/09/2023","140.60","142.02","142.65","139.84","35.50M","-1.04%"
"11/08/2023","142.08","142.97","143.12","141.22","43.57M","-0.44%"
"11/07/2023","142.71","140.55","143.37","140.50","53.67M","2.13%"
"11/06/2023","139.74","138.76","140.73","138.36","44.41M","0.82%"
"11/03/2023","138.60","138.99","139.49","137.45","44.06M","0.38%"
"11/02/2023","138.07","138.73","138.81","136.47","51.57M","0.78%"
